gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,0,-1.2774445836787658,0,1,-1.1729878526996529,-0.9944109736371008,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0.06632741908223602,1,0,-0.27569737300337227,-0.1732576072175086,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,-1.2367242199587354,1,1,-0.3753963151918479,-0.9595340295794945,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0.51425142000257,0,0,-0.7409591032162585,-0.19489014213931508,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,-1.2367242199587354,1,1,0.1895643572095139,-0.940550376484848,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,-0.9924020376385532,1,1,1.1533207983647782,-0.6452000527565108,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,1,-0.42231694555812826,1,1,0.8209909910698595,-0.14676878894590886,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,-0.9109613101984925,0,0,-1.1729878526996529,-0.8743283308058486,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,-0.1779947632379461,1,1,1.3194857020122375,0.33753510511983986,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,1,1.2064976032430859,1,0,-0.27569737300337227,0.532227919416098,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,-0.7888002190384015,1,1,-0.5083282381098154,-0.7480649637112231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,-0.6666391278783104,1,0,-1.5385506407240637,-0.8632913231926821,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,0,1,0,1.0436161483629647,1,0,1.18655377909427,1.5008357075475955,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
1,0,0,0,0.6771328748826914,1,1,1.2862527212827457,1.2160809111278983,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,-0.3001558543980372,1,1,1.3527186827417295,0.1786021954902414,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,1,1,1.4915401492832985,1,0,1.6185825285776643,2.4782731017696262,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,0,0.7992939660427824,1,0,-1.47208467926508,-0.556021031242125,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,0,1,1.572980876723359,1,0,1.3859516634712212,2.2517937055474486,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,-0.9109613101984925,1,0,-0.30893035373286415,-0.7741123016782963,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,-0.4630373092781586,1,1,0.8542239717993514,-0.1851775754397285,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,-1.2774445836787658,0,1,-0.8406580454047341,-0.9899961705918342,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,1,0,-0.8295205827584318,1,0,-1.5053176599945717,-0.9180348809539882,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,0,0,-1.2774445836787658,1,0,-1.47208467926508,-0.9983842963778408,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,0,1.0436161483629647,1,1,-0.1759984308148967,0.540174564897578,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1,0,1,1,0.6771328748826914,1,0,-0.1759984308148967,0.3039826019758135,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,-0.09655403579788539,1,1,-0.30893035373286415,-0.3317490365425805,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0.5956921474426307,1,1,1.1533207983647782,1.0893760637287462,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,1,1,-1.2774445836787658,0,0,-1.1397548719701611,-0.9939694933325741,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,1.6137012404433895,1,1,0.8542239717993514,1.8045741570619394,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,1,-0.6259187641582801,1,1,-0.009833527167437319,-0.524675929620732,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,1,1,0,1.572980876723359,1,1,1.0536218561763024,1.9798418379590244,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,-1.2367242199587354,1,1,1.0203888754468107,-0.9273059673490481,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,-0.21871512695797646,1,0,0.05663243429154643,-0.17987981178540854,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,-1.2774445836787658,1,0,-1.47208467926508,-0.9983842963778408,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
1,1,0,0,-1.2774445836787658,1,0,-0.6412601610277829,-0.9873472887646743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1.6137012404433895,1,0,1.1533207983647782,2.1939597856544557,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,0,0,0,-1.1145631287986444,1,1,0.15633137648002204,-0.8677061262379486,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0.5549717837226003,1,1,0.32249628012748144,0.5591582179922245,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
